text1,text2,similarity
зеленню зі картопляні смаком сметани із,барбекю зі картопляні крилець смаком хвилясті,0.580000
зі картопляні муп смаком стейк техаський хвилясті,барбекю зі картопляні крилець смаком хвилясті,0.540000
зі картопляні муп смаком стейк техаський хвилясті,зеленню зі картопляні смаком сметани із,0.620000
в лисички муп сметані хвилясті,зі картопляні муп смаком стейк техаський хвилясті,0.290000
в лисички муп сметані хвилясті,барбекю зі картопляні крилець смаком хвилясті,0.240000
зі картопляні сиру смаком,васабі зі картопляні рифлені смаком,0.630000
зі картопляні крабу смаком,васабі зі картопляні рифлені смаком,0.610000
зі картопляні крабу смаком,зі картопляні сиру смаком,0.840000
зі картопляні паприки смаком,васабі зі картопляні рифлені смаком,0.570000
зі картопляні паприки смаком,зі картопляні сиру смаком,0.730000
зі картопляні паприки смаком,зі картопляні крабу смаком,0.710000
бекону зі картопляні смаком,васабі зі картопляні рифлені смаком,0.710000
бекону зі картопляні смаком,зі картопляні сиру смаком,0.630000
бекону зі картопляні смаком,зі картопляні крабу смаком,0.610000
бекону зі картопляні смаком,зі картопляні паприки смаком,0.570000
зеленню зі картопляні смаком сметани із,васабі зі картопляні рифлені смаком,0.510000
зеленню зі картопляні смаком сметани із,зі картопляні сиру смаком,0.630000
зеленню зі картопляні смаком сметани із,зі картопляні крабу смаком,0.570000
зеленню зі картопляні смаком сметани із,зі картопляні паприки смаком,0.590000
зі картопляні крабу муп смаком,зі картопляні крабу смаком,1.000000
зі картопляні крабу муп смаком,зі картопляні муп смаком стейк техаський хвилясті,0.620000
зі картопляні крабу муп смаком,в лисички муп сметані хвилясті,0.260000
зі картопляні крабу муп смаком,барбекю зі картопляні крилець смаком хвилясті,0.620000
зелень зі картопляні муп смаком сметана та,зі картопляні крабу муп смаком,0.590000
зелень зі картопляні муп смаком сметана та,зі картопляні муп смаком стейк техаський хвилясті,0.590000
зелень зі картопляні муп смаком сметана та,в лисички муп сметані хвилясті,0.450000
зелень зі картопляні муп смаком сметана та,барбекю зі картопляні крилець смаком хвилясті,0.550000
барбекю зі картопляні смаком,зі картопляні сиру смаком чіпси,0.610000
chippito mr зі картопляні куп смаком сметани та цибулі,зеленню зі картопляні смаком сметани із,0.630000
chippito mr зі картопляні куп смаком сметани та цибулі,барбекю зі картопляні крилець смаком хвилясті,0.470000
chippito mr зі картопляні куп смаком сметани та цибулі,зі картопляні муп смаком стейк техаський хвилясті,0.530000
chippito mr з картопляні куп морською оригінальні сіллю,chippito mr зі картопляні куп смаком сметани та цибулі,0.630000
chippito mr з картопляні куп морською оригінальні сіллю,барбекю зі картопляні смаком,0.340000
chippito mr з картопляні куп морською оригінальні сіллю,барбекю зі картопляні крилець смаком хвилясті,0.470000
chippito mr з картопляні куп морською оригінальні сіллю,зеленню зі картопляні смаком сметани із,0.420000
зі картопляні крабу муп смаком,зелені зі картопляні муп смаком сметани та,0.590000
гриль зі картопляні муп реберець смаком,зелені зі картопляні муп смаком сметани та,0.560000
гриль зі картопляні муп реберець смаком,зі картопляні крабу муп смаком,0.630000`
baked запечені зі картопляні лисичок муп смаком сметані у,baked з запечені зі йогурту картопляні муп смаком травами,0.680000
сир цибуля чеддер чіпси і,зелені зі картопляні муп смаком сметани та,0.240000
сир цибуля чеддер чіпси і,зі картопляні крабу муп смаком,0.300000
max зі картопляні лобстера муп рифлені смаком,зелені зі картопляні муп смаком сметани та,0.630000
max зі картопляні лобстера муп рифлені смаком,зі картопляні крабу муп смаком,0.670000
max зі картопляні лобстера муп рифлені смаком,гриль зі картопляні муп реберець смаком,0.630000
max зі картопляні лобстера муп рифлені смаком,baked з запечені зі йогурту картопляні муп смаком травами,0.500000
зі кукурудзяні начо сиру смаком,барбекю зі кукурудзяні начо смаком,0.710000
зі лисичок муп смаком хвилясті,зі муп смаком сметана та хвилясті цибуля,0.190000
вершках зі лосося смаком у чіпси,зі муп смаком сметана та хвилясті цибуля,0.360000
вершках зі лосося смаком у чіпси,зі лисичок муп смаком хвилясті,0.290000
зі муп паприки смаком хвилясті,зі муп смаком сметана та хвилясті цибуля,0.190000
зі муп паприки смаком хвилясті,зі лисичок муп смаком хвилясті,0.290000
зі муп паприки смаком хвилясті,вершках зі лосося смаком у чіпси,0.190000
зі картопляні паприки смаком,зі картопляні сиру смаком чіпси,0.730000
зі картопляні смаком сметани та цибулі чіпси,зі картопляні сиру смаком чіпси,0.700000
зі картопляні смаком сметани та цибулі чіпси,зі картопляні паприки смаком,0.650000
max зі рифлені смаком сметанацибуля,deepcut max зі сальси смаком,0.400000
baked oven з зі йогурту смаком травами,baked з запечені зі йогурту картопляні муп смаком травами,0.660000
baked oven з зі йогурту смаком травами,baked запечені зі картопляні лисичок муп смаком сметані у,0.360000
max зі королівський рифлені сир смаком,max зі рифлені смаком сметанацибуля,0.320000
max зі королівський рифлені сир смаком,deepcut max зі сальси смаком,0.420000
зі картопляні паприки смаком,зелені зі картопляні муп смаком сметани та,0.600000
зі картопляні паприки смаком,зі картопляні крабу муп смаком,0.710000
зі картопляні сиру смаком,зелені зі картопляні муп смаком сметани та,0.650000
зі картопляні сиру смаком,зі картопляні крабу муп смаком,0.840000
max зі лобстера рифлені смаком,max зі рифлені смаком сметанацибуля,0.480000
max зі лобстера рифлені смаком,max зі королівський рифлені сир смаком,0.440000
max зі лобстера рифлені смаком,deepcut max зі сальси смаком,0.400000
зі картопляні ковбаски смаком та цибулька чорізо,з зі картопляні макарони сиром смаком,0.600000
з картопляні сіллю,зелені зі картопляні муп смаком сметани та,0.590000
з картопляні сіллю,зі картопляні крабу муп смаком,0.690000
з картопляні сіллю,зі картопляні паприки смаком,0.650000
з картопляні сіллю,зі картопляні сиру смаком,0.770000
з запечені зі карамеллю картопляні смаком яблучка,з зі картопляні макарони сиром смаком,0.420000
з запечені зі карамеллю картопляні смаком яблучка,зі картопляні ковбаски смаком та цибулька чорізо,0.420000
зі картопляні краба смаком,зелені зі картопляні муп смаком сметани та,0.590000
зі картопляні краба смаком,зі картопляні крабу муп смаком,0.940000
зі картопляні краба смаком,зі картопляні паприки смаком,0.710000
зі картопляні краба смаком,зі картопляні сиру смаком,0.770000
зелені зі картопляні смаком сметани та,зелені зі картопляні муп смаком сметани і,1.000000
зелені зі картопляні смаком сметани та,зелені зі картопляні муп смаком сметани та,1.000000
зелені зі картопляні смаком сметани та,зі картопляні крабу муп смаком,0.590000
зелені зі картопляні смаком сметани та,зі картопляні паприки смаком,0.600000
зелені зі картопляні смаком сметани та,зі картопляні сиру смаком,0.650000
зі картопляні краба смаком,зелені зі картопляні муп смаком сметани і,0.590000
зі картопляні краба смаком,зелені зі картопляні смаком сметани та,0.590000
зі картопляні сиру смаком,зелені зі картопляні муп смаком сметани і,0.650000
max зі рифлені смаком сметани та цибулі,max strong зі лайму смаком та чилі,0.460000
baked oven зі лисичок смаком сметані у,baked запечені зі картопляні лисичок муп смаком сметані у,0.660000
baked oven зі лисичок смаком сметані у,baked oven з зі йогурту смаком травами,0.580000
baked oven зі лисичок смаком сметані у,baked з запечені зі йогурту картопляні муп смаком травами,0.360000
бекону зі картопляні смаком,зелені зі картопляні муп смаком сметани та,0.620000
бекону зі картопляні смаком,зі картопляні крабу муп смаком,0.610000
зі картопляні крабу смаком,зеленню картопляні смак сметани із,0.550000
зі картопляні сиру смаком,зеленню картопляні смак сметани із,0.570000
зі сиру смаком,зі картопляні сиру смаком чіпси,0.420000
зі кукурудзяні сиру смаком,барбекю зі кукурудзяні смаком,0.630000
зі кукурудзяні смаком сметани,барбекю зі кукурудзяні смаком,0.580000
зі кукурудзяні смаком сметани,зі кукурудзяні сиру смаком,0.800000
зі краба кукурудзяні смаком снеки,зі кукурудзяні сиру смаком снеки,0.670000
з зі коричневого рису смаком хумусу,з з коричневого паприкою рису,0.710000
favore грибів зі смаком,favore зелені зі смаком сметани та,0.470000
лавка нутові оригінальні традицій хлібці,вяленими з лавка нутові томатами традицій хлібці,0.720000
з кмином лавка нутові традицій хлібці,вяленими з лавка нутові томатами традицій хлібці,0.770000
з кмином лавка нутові традицій хлібці,лавка нутові оригінальні традицій хлібці,0.750000
mood snack вироби зі сиру смаком снек фігурні,mood snack барб крикурячих пшенкарт смак снек,0.510000
mood snack бекону зі пшеничні смаком снек,mood snack барб крикурячих пшенкарт смак снек,0.580000
mood snack бекону зі пшеничні смаком снек,mood snack вироби зі сиру смаком снек фігурні,0.570000
з зеленню зі картопляні смаком сметани,зі картопляні крабу смаком,0.570000
baked oven гриль зі овочів смаком,baked oven з зі йогурту смаком травами,0.610000
baked oven гриль зі овочів смаком,baked oven зі лисичок смаком сметані у,0.570000
baked oven гриль зі овочів смаком,baked з запечені зі йогурту картопляні муп смаком травами,0.410000
baked oven гриль зі овочів смаком,baked запечені зі картопляні лисичок муп смаком сметані у,0.380000
max зі лобстера рифлені смаком,max зі рифлені смаком сметани та цибулі,0.470000
max зі лобстера рифлені смаком,max strong зі лайму смаком та чилі,0.360000
зеленої зі картопляні смаком цибулі,зелені зі картопляні муп смаком сметани та,0.720000
зеленої зі картопляні смаком цибулі,зі картопляні крабу муп смаком,0.630000
зеленої зі картопляні смаком цибулі,зі картопляні паприки смаком,0.560000
зеленої зі картопляні смаком цибулі,зі картопляні сиру смаком,0.650000
max strong зі лайму смаком та чилі,deepcut max зі сальси смаком,0.310000
max strong зі лайму смаком та чилі,max зі рифлені смаком сметанацибуля,0.370000
max strong зі лайму смаком та чилі,max зі королівський рифлені сир смаком,0.390000
бекону зі картопляні смаком,зелені зі картопляні муп смаком сметани і,0.620000
бекону зі картопляні смаком,зелені зі картопляні смаком сметани та,0.620000
бекону зі картопляні смаком,зі картопляні краба смаком,0.610000
білих грибів зі зі картопляні смаком сметаною,зелені зі картопляні муп смаком сметани та,0.700000
білих грибів зі зі картопляні смаком сметаною,зі картопляні крабу муп смаком,0.500000
білих грибів зі зі картопляні смаком сметаною,зі картопляні паприки смаком,0.480000
білих грибів зі зі картопляні смаком сметаною,зі картопляні сиру смаком,0.510000
paysanne зі сиру смаком,paysanne зі нормандської оцту сидрового смаком солі та,0.440000
paysanne зі сиру смаком,зі картопляні сиру смаком,0.360000
paysanne зі карамелізованої смаком цибулі,paysanne зі нормандської оцту сидрового смаком солі та,0.560000
paysanne зі карамелізованої смаком цибулі,paysanne зі сиру смаком,0.500000
paysanne зі карамелізованої смаком цибулі,зеленої зі картопляні смаком цибулі,0.460000
paysanne гірчиці діжонської зі курки меду смаком та,paysanne зі нормандської оцту сидрового смаком солі та,0.510000
paysanne гірчиці діжонської зі курки меду смаком та,paysanne зі сиру смаком,0.470000
paysanne гірчиці діжонської зі курки меду смаком та,paysanne зі карамелізованої смаком цибулі,0.520000
з картопляні сіллю,зелені зі картопляні муп смаком сметани і,0.590000
з картопляні сіллю,зелені зі картопляні смаком сметани та,0.590000
з картопляні сіллю,зі картопляні краба смаком,0.690000
з картопляні сіллю,барбекю зі картопляні смаком,0.590000
зі картопляні лобстера рифлені смаком,зелені зі картопляні муп смаком сметани та,0.640000
зі картопляні лобстера рифлені смаком,зі картопляні крабу муп смаком,0.740000
зі картопляні лобстера рифлені смаком,зі картопляні паприки смаком,0.650000
зі картопляні лобстера рифлені смаком,зі картопляні сиру смаком,0.760000
зі картопляні рифлені смаком сметани та цибулі,зеленої зі картопляні смаком цибулі,0.680000
зі картопляні рифлені смаком сметани та цибулі,paysanne зі карамелізованої смаком цибулі,0.500000
зі картопляні рифлені смаком сметани та цибулі,зі картопляні лобстера рифлені смаком,0.640000
зі картопляні рифлені смаком сметани та цибулі,зелені зі картопляні муп смаком сметани та,0.720000
гострим з картопляні смаком шалено,з зі картопляні макарони сиром смаком,0.560000
гострим з картопляні смаком шалено,зі картопляні ковбаски смаком та цибулька чорізо,0.470000
гострим з картопляні смаком шалено,з запечені зі карамеллю картопляні смаком яблучка,0.480000
berry goji безалкогольний газований зб,black cherry безалкогольний газований зб,0.450000
energy безаолкогольни виноград зб,energy безаолкогольни вишня зб,0.880000
unicorn безалкогольний зб сильногазований,mix безалкогольний зб сильногазований,0.200000
juiced lemonade peach безалкогольний зб,mix безалкогольний зб сильногазований,0.080000
juiced lemonade peach безалкогольний зб,unicorn безалкогольний зб сильногазований,0.360000
cola taste безалкогольний зб сильногазований,mix безалкогольний зб сильногазований,0.000000
cola taste безалкогольний зб сильногазований,unicorn безалкогольний зб сильногазований,0.240000
cola taste безалкогольний зб сильногазований,juiced lemonade peach безалкогольний зб,0.320000
exotic безалкогольний зб сильногазований,mix безалкогольний зб сильногазований,0.220000
exotic безалкогольний зб сильногазований,unicorn безалкогольний зб сильногазований,0.310000
exotic безалкогольний зб сильногазований,cola taste безалкогольний зб сильногазований,0.250000
exotic безалкогольний зб сильногазований,juiced lemonade peach безалкогольний зб,0.220000
apple juiced sour безалкогольний зб,juiced lemonade peach безалкогольний зб,0.420000
apple juiced sour безалкогольний зб,mix безалкогольний зб сильногазований,0.100000
apple juiced sour безалкогольний зб,unicorn безалкогольний зб сильногазований,0.420000
apple juiced sour безалкогольний зб,cola taste безалкогольний зб сильногазований,0.220000
безалкогольний воля зб середньогазований,безалкогольний воля зб ківіполуниця,0.410000
воля зб мікс ягідний,безалкогольний воля зб ківіполуниця,0.530000
воля зб мікс ягідний,безалкогольний воля зб середньогазований,0.510000
green stalker безалкогольний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.080000
boost безалкогольний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.000000
boost безалкогольний зб сильногазований,green stalker безалкогольний зб сильногазований,0.220000
безалкогольний сильногазований,безалкогольний еволюшн сильногазований фреш,0.000000
безалкогольний сильногазований,green stalker безалкогольний зб сильногазований,0.000000
безалкогольний сильногазований,boost безалкогольний зб сильногазований,0.000000
evolution fresh jungle безалкогольний зб,boost безалкогольний зб сильногазований,0.220000
безалкогольний зі смаком тропічних фруктів,безалкогольний,0.000000
безалкогольний зб,sugar zero безалкогольний зб,0.000000
coconut mango безалкогольний зб,sugar zero безалкогольний зб,0.260000
coconut mango безалкогольний зб,безалкогольний зб,0.000000
cactus kiwi безалкогольний зб,sugar zero безалкогольний зб,0.190000
cactus kiwi безалкогольний зб,безалкогольний зб,0.000000
cactus kiwi безалкогольний зб,coconut mango безалкогольний зб,0.330000
безалкогольний зб сильногазований,exotic безалкогольний зб сильногазований,0.000000
loco mango енергетичний жб напій,ultra енергетичний жб напій,0.770000
energy енергетичний жб напій,ultra енергетичний жб напій,0.790000
energy енергетичний жб напій,loco mango енергетичний жб напій,0.750000
cactus dog wild безалкогольний енергетичний напій пет,dog wild безалкогольний енергетичний напій пет,0.860000
boost безалкогольний енергетичний жб напій сильногазований,boost безалкогольний зб сильногазований,0.380000
boost безалкогольний енергетичний жб напій сильногазований,evolution fresh jungle безалкогольний зб,0.190000
безалкогольний енергетичний напій сильногазований,безалкогольний еволюшн сильногазований фреш,0.330000
безалкогольний енергетичний напій сильногазований,green stalker безалкогольний зб сильногазований,0.000000
безалкогольний енергетичний напій сильногазований,boost безалкогольний зб сильногазований,0.000000
безалкогольний енергетичний напій сильногазований,безалкогольний сильногазований,0.000000
zoom безалкогольний енергетичний жб напій сильногазований,безалкогольний енергетичний напій сильногазований,0.750000
zoom безалкогольний енергетичний жб напій сильногазований,безалкогольний еволюшн сильногазований фреш,0.250000
zoom безалкогольний енергетичний жб напій сильногазований,green stalker безалкогольний зб сильногазований,0.060000
zoom безалкогольний енергетичний жб напій сильногазований,boost безалкогольний зб сильногазований,0.160000
jungle безалкогольний енергетичний напій сильногазований,безалкогольний енергетичний напій сильногазований,0.770000
jungle безалкогольний енергетичний напій сильногазований,zoom безалкогольний енергетичний жб напій сильногазований,0.670000
jungle безалкогольний енергетичний напій сильногазований,безалкогольний еволюшн сильногазований фреш,0.260000
jungle безалкогольний енергетичний напій сильногазований,green stalker безалкогольний зб сильногазований,0.190000
безалкогольний енергетичний напій сильногазований,boost безалкогольний енергетичний жб напій сильногазований,0.730000
безалкогольний енергетичний напій сильногазований,evolution fresh jungle безалкогольний зб,0.000000
eнepгeтичний juiced lemonade peach бeзaлкoгoльний гaзoвaний жб напій,juiced lemonade peach безалкогольний зб,0.510000
eнepгeтичний juiced lemonade peach бeзaлкoгoльний гaзoвaний жб напій,apple juiced sour безалкогольний зб,0.280000
apple eнepгeтичний juiced sour бeзaлкoгoльний гaзoвaний жб напій,eнepгeтичний juiced lemonade peach бeзaлкoгoльний гaзoвaний жб напій,0.820000
apple eнepгeтичний juiced sour бeзaлкoгoльний гaзoвaний жб напій,apple juiced sour безалкогольний зб,0.450000
apple eнepгeтичний juiced sour бeзaлкoгoльний гaзoвaний жб напій,juiced lemonade peach безалкогольний зб,0.280000
eнepгeтичний жб зі нaпій смаком яблукоківі,безалкогольний енергетичний жб напій сильногазований,0.470000
eнepгeтичний maracuja spritz бeзaлкoгoльний гaзoвaний жб нaпій,eнepгeтичний sparkler бeзaлкoгoльний винограду гaзoвaний жб зі нaпій смаком,0.790000
classic plus безалкогольний газований енергетичний напій,eнepгeтичний sparkler бeзaлкoгoльний винограду гaзoвaний жб зі нaпій смаком,0.220000
classic plus безалкогольний газований енергетичний напій,eнepгeтичний maracuja spritz бeзaлкoгoльний гaзoвaний жб нaпій,0.230000
classic plus безалкогольний газований енергетичний напій,асорті безалкогольний зб зі сильногазований смаком фруктів,0.150000
eнepгeтичний silver нaпій пет,eнepгeтичний power бeзaлкoгoльний жб нaпій,0.630000
безалкогольний виноград енергетичний жб напій сильногазований,energy безаолкогольни виноград зб,0.300000
безалкогольний вишня енергетичний жб напій сильногазований,energy безаолкогольни вишня зб,0.250000
безалкогольний вишня енергетичний жб напій сильногазований,безалкогольний виноград енергетичний жб напій сильногазований,0.840000
black cherry kiwi безалкогольний зб,fruit punch venom безалкогольний зб,0.240000
original безалкогольний зб,fruit punch venom безалкогольний зб,0.240000
original безалкогольний зб,black cherry kiwi безалкогольний зб,0.240000
mango безалкогольний зб,fruit punch venom безалкогольний зб,0.180000
mango безалкогольний зб,black cherry kiwi безалкогольний зб,0.090000
mango безалкогольний зб,original безалкогольний зб,0.150000
original без безалкогольний зб цукру,original безалкогольний зб,0.620000
original без безалкогольний зб цукру,fruit punch venom безалкогольний зб,0.230000
original без безалкогольний зб цукру,black cherry kiwi безалкогольний зб,0.170000
original без безалкогольний зб цукру,mango безалкогольний зб,0.090000
watermelonstrawberry безалкогольний газований зб,mango безалкогольний газований зб,0.160000
